,1.1,1.2,1.3,1.4,2.1,2.2,3.1,3.2,3.3,4.1,4.2,4.3,5.1,5.2,6.1,6.2,6.3,6.4,6.5,6.6,7.1,7.2
YEAR,SQUAXIN,PURDY,WOLLOCHET BAY,QM,ELLIOT BAY,PO-PM,S HOOD,QUILCENE,PORT GAMBLE,DISCO,  SEQUIM,  DUNG,  HOLMES,  SKAGIT,PORT SUSAN,KILISUT,  FIDALGO,SAM/PORT,SEMIAHMOO,CHERRY PT,INT.SJ,NWSJ
1973,,,,,,,,,,,,,,,,,,,,14998,,
1974,,,,,,,,,,,,,,,,,,,,13963,,
1975,298,,,,,887,,,,,,,,,,279,,109,772,10337,,
1976,2138,,,1357,,447,492,279,1142,697,47,,126,478,,495,,77,321,11844,10,157
1977,20,,,1413,,1348,444,232,2525,1488,94,,135,227,,,,32,634,11097,18,29
1978,58,,,1860,,,,14,1984,1305,10,,,,,254,,,,10973,,
1979,137,,,1941,,1255,,,1790,882,,,,,,,,333,,9957,,
1980,683,,,1930,,2133,,,2309,3220,335,43,78,453,,477,276,1008,,9329,,
1981,772,,,1777,,891,,,1753,3070,,,,,,324,456,,1008,6219,,
1982,,,,1778,,1214,177,,1463,2356,,,78,,1391,,182,310,1389,5342,,
1983,,,,909,,1651,,,2407,2578,,197,,,1398,,640,159,874,8063,,
1984,,,,1386,,1293,,,2685,3144,31,,,,1555,,742,160,772,5901,,
1985,,,,667,,1415,,,2387,1447,18,,914,,1321,,761,78,2325,5760,,
1986,,,,1181,,1926,,,2050,1566,,234,,,934,,731,79,1464,5671,,
1987,,,,924,,2538,,68,2046,1593,,,,1552,1216,,887,,,3108,,400
1988,,,,750,,1705,,,1390,853,,,,1340,570,,,,1965,4428,,
1989,,,,898,,1739,,,2395,1225,,,693,,345,,,58,1701,4003,541,
1990,566,,,681,,1795,,,2969,855,,,380,,291,364,,,1930,4998,391,218
1991,943,,,580,,722,357,204,2259,925,,,,,245,613,1079,,2061,4624,60,298
1992,771,,,518,,314,144,97,2270,727,,,,,545,,1399,262,1501,4009,17,
1993,596,,,1075,,304,,,1521,737,11,,,,1693,538,1417,198,1902,4894,472,
1994,225,,,1412,,424,,,2857,375,0,,,,365,292,1207,459,1389,6324,,
1995,157,,,2001,,863,,817,3158,261,,287,,891,363,,1173,194,1245,4105,,
1996,374,,,805,,806,239,328,2058,747,0,180,336,736,110,380,590,636,1219,3095,277,53
1997,149,,,1402,,360,226,465,1419,199,0,158,530,893,828,307,929,509,621,1574,30,79
1998,68,,,947,,489,101,1152,971,0,0,112,464,209,2084,311,844,643,919,1322,,107
1999,474,,,1257,,2006,516,2464,1664,307,0,352,175,905,545,802,1005,555,868,1266,197,
2000,371,,142,743,,1756,140,2426,2459,159,0,138,281,646,785,107,737,196,926,808,128,90
2001,1597,,133,1320,,2007,187,2091,1779,137,6,87,275,2170,587,612,944,470,1098,1241,219,62
2002,3150,,106,416,,878,166,2585,1812,148,0,131,573,2215,775,774,865,496,1012,1330,158,131
2003,2201,,152,930,,1085,207,916,1064,207,0,44,678,2983,450,448,569,299,1087,1611,72,13
2004,828,,52,727,,700,176,2342,1257,252,0,22,673,1245,429,184,339,351,629,1734,67,0
2005,436,,67,756,,1958,210,1125,1372,33,0,0,498,1169,157,170,231,218,870,2010,41,0
2006,755,,27,987,,2112,244,2530,774,1325,0,0,1297,2826,321,54,323,412,1277,2216,285,0
2007,557,,35,441,,1589,70,2372,826,42,0,34,572,1236,643,24,159,348,1124,2169,33,0
2008,1025,496,45,491,,1186,223,2531,208,248,0,69,686,1342,345,0,156,409,662,1352,60,0
2009,824,125,360,843,,1768,156,3064,1064,205,0,46,1045,1036,252,0,15,320,990,1341,0,0
2010,510,500,11,143,,350,214,2012,433,26,0,75,673,402,152,0,103,649,909,774,24,0
2011,565,711,21,96,,123,156,4443,1464,0,0,104,3003,469,138,0,119,387,1605,1301,0,0
2012,589,135,31,108,290,217,264,2626,404,105,,43,678,443,61,0,89,430,879,1120,5,0
2013,554,260,10,157,214,184,199,2072,273,0,,71,585,454,29,0,100,693,569,908,0,
2014,394,83,39,44,29,90,112,3097,170,5,,72,459,294,68,5,221,778,2828,1003,5,
2015,324,32,0,55,135,92,282,4097,345,12,,8,456,285,70,0,80,559,5852,524,38,
2016,260.4,0,0,0,109.3,0,249.3,7160.1,179.5,243.8,0,43.6,493.9,48.1,60.9,0,5,1024.5,1797.9,515.6,,
